name,about,image_url,is_male,is_human,is_alien_or_creature,is_cyborg_or_robot,has_black_hair,has_blonde_hair,has_blue_hair,has_red_hair,wears_glasses,has_scar,wears_hat_or_mask,uses_swords,uses_guns,has_superpowers,can_fly,elemental_powers,is_student,is_captain_or_leader,is_villain_or_antagonist,is_intelligent,is_orphan,is_cold_or_stoic,is_pirate,is_ninja,is_detective_or_police,from_popular_shonen,is_isekai
Megumin,"Age: 13–14
Birthday: December 4

An arch wizard who is descended from crimson demons; powerful humanoids who possess black hair and red eyes, and sport chuunibyou characteristics. Megumin only knows a single skill, the incredibly powerful explosion magic that immediately incapacitates her for the rest of the day when cast, and refuses to learn any other skills.

(Source: Wikipedia, edited)",https://myanimelist.net/images/characters/14/349249.jpg,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arataka Reigen,"Birthday: Oct 10
Age: 29
Gender: Male
Blood Type: O
Height: 179 cm

Reigen is a self-proclaimed psychic who exorcises evil spirits and leads a spirit council. He is also Mob's mentor and boss.

He has a wide variety of skills and knowledge due to working a lot of different jobs. He uses them either when he helps his client or attacking his opponent.",https://myanimelist.net/images/characters/16/308364.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Hitagi Senjougahara,"Birthday: July 7
Height: 165 cm
Weight: Unknown 
Hitagi, a main female character of Bakemonogatari, is a weak-looking girl with an ""incurable disease."" She is in the same class as Koyomi, but he has almost never heard her speak. When she was in the first year of high school, she encountered a mysterious crab, after which she became nearly weightless. Ever since then, she has avoided contact with everyone else, threatening everyone who discovers her secret. She jokingly labels herself as a tsundere and speaks with a sharp tongue.",https://myanimelist.net/images/characters/11/287902.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Kazuto Kirigaya,"Birthday: October 7, 2008
Age: 14 (Beginning of Aincrad arc), 16 (End of Aincrad arc, Fairy Dance arc), 17 (Phantom Bullet arc) 18 (Mother's Rosario) 18 (Alicilization)
Height: 172 cm
Weight: 59 kg
Blood type: AB
Weapon(s) of choice: Anneal Blade (1st Level), Queen's Knightblade (9th Level), Elucidator (50th level), Dark Repulser (forged by Lisbeth), and Holy Sword Excalibur (obtained from the ""Calibur Quest"").

Kirito is the protagonist of Sword Art Online. He is a ""solo"" player, a player who hasn't joined a guild and usually works alone. He is also one of the very few people to have had the privilege to play in the beta testing period of Sword Art Online. His game alias, Kirito, is created by taking the syllables of the first and last Kanji of his real last and first names respectively: (Kirigaya Kazuto). In the real world, he lives with his aunt and younger cousin in a family of 3.

When Kayaba announced the start of the death game, he is surprised, but unlike everyone else, he quickly gets over it and accepts it to an extent. He invited his friend Klein to go with him but Klein had to find his friends in the game. He was invited to join them but he declined as he couldn't take the pressure of protecting them even with his beta testing knowledge of the game.

Kirito tends to use a single handed straight sword. The blade that he uses most often is the Elucidator. Later on, he acquires a second blade called Dark Repulser that was made by his blacksmith friend, Lisbeth.",https://myanimelist.net/images/characters/7/204821.jpg,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mai Sakurajima,"Gender: Female
Age: 17-18
Birthday: December 2 (Sagittarius)
Blood Type: AB
Height: 5'4"" (165 cm)
Occupation: Student, Actress, Model
Affiliation: Minegahara High School, 3rd year

Mai Sakurajima (桜島 麻衣, Sakurajima Mai) is the main character of the Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai series. She is a notable actress/model and a third year at Minegahara High School, the same school as Sakuta Azusagawa.

Mai is a serious individual, especially around Sakuta Azusagawa. She is very sensitive, polite, levelheaded, helpful, and kind. She isn't harsh by default, but she can become easily annoyed and come across as somewhat snappy or violent especially to Sakuta. Mai tends to ignore and stuff down unpleasant feelings rather than deal with them. Sakuta often points out that she is ""dishonest"", often lying about her feelings. Despite her snarkiness, she's pure-hearted and even shy around Sakuta's jokes. Mai is also very intelligent; she's implied to have very good grades and even helps Sakuta study at one point. 

Mai found early fame as a model for television, magazines, and books due to the fact that her mother ran a photographing agency. While she did enjoy her job as a model in the show business, the pressure of being in the public began to take its toll on her. After being tricked and forced to participate in a swimsuit photoshoot by her mother in her early school years, Mai realized she was simply being used as a tool to make her mother easy money and took a hiatus from acting as a way to get back at her, deciding to attend highschool. 

However, because of work commitments made prior to her decision to go on hiatus she wasn't able to attend school until half-way through her first year. By then, social circles had formed, making her the ""odd one out"" and causing her to be isolated. As a result, the student body didn't know how to deal with her; While they had no reason to bully her, they also feared associating with her would cause themselves to be isolated as well.



Two years and several months since beginning her hiatus, Mai went to a library wearing a bunny costume to see if anyone would notice her. She then came across a boy named Sakuta Azusagawa, who was the only person in the building able to see her. After introducing themselves, however, Mai ordered Sakuta to forget about her.









(Source: Seishun Buta Yarou Wiki)",https://myanimelist.net/images/characters/2/366639.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Yato,"""Gods can do anything they want. Including hurting someone... Or taking their lives.""

Yato is a god who attempts to build his own shrine. He wears a jersey and a so-called ""fluffy-wuffy scarf,"" and refers to himself as ""Yato God"" (Yatogami). When his current Shinki (Divine Weapon) quit, he was unarmed until he met Hiyori and Yukine. He calls himself ""delivery god"" and often puts his own cell number on several common places in case someone needs his help. He usually charges for 5 yen, what Japanese people usually give when praying at a shrine.

Kofuku affectionately calls him ""Yatty.""




(Source: Wikipedia)",https://myanimelist.net/images/characters/3/328158.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Roy Mustang,"Birthday: 1885 (Age 30 from vol. 10)
Height: 5'8"" (173 cm)

Roy Mustang is the ""Flame Alchemist,"" having absolute control over heat and fire through alchemy. Using special gloves that create a spark when he snaps his fingers, Roy can create anything from a tiny ember to burn a letter, to a raging inferno that can destroy a humanoid body in seconds. His precise control over the alchemically enhanced flame is so accurate that he can boil the water in a persons' eyes and can also attack enemies amongst a riot without hurting any allies.

Outwardly arrogant and playfully manipulative, Mustang is intelligent and almost always one step ahead of his opponents, and likes to feel in control of the situation. He is one of the superiors of Edward Elric. On the surface, he appears to be nothing more than a man of the military who pursues promotions and praise and is considered a ladies' man who constantly goes on dates with different women. Mustang's true goal is to become Führer in order to gain the power to reform the government in order to absolve his sins in the Ishval War as well as change the country for the better, along with the joking requirement for female officers to wear tiny miniskirts (which considerably increased Havoc's loyalty to him and caused Hawkeye to be angry with him).

His goals are admirable enough that he earns the fierce loyalty of his good friends Lt Col. Maes Hughes, Major Alex Louis Armstrong, and his own subordinates, among whom are Riza Hawkeye, Jean Havoc, Heymans Breda, Vato Falman, and Kain Fuery. While Mustang has a close and amicable relationship with all of his subordinates, he appears to share a deeper bond of affection with his second-in-command Riza Hawkeye, who has devoted her life to supporting him. This bond culminates in the final episodes of the anime when Mustang chooses Hawkeye alone to accompany him on his greatest and most dangerous mission.

Though a hero of the Ishval War, he remains haunted by the horrors of war and suffers great remorse for the lives he took.


(Source: Wikipedia)",https://myanimelist.net/images/characters/11/510227.jpg,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Violet Evergarden,"Age: 14 (Series), 17-18 (Movie Gaiden), 18 (Movie)
Height: 165 cm (5'4)
Hair color: Blonde
Eye color: Blue

Violet is a newcomer Auto Memory Doll at the CH postal company. She has wanted to know the meaning of ""certain words"" she received from Gilbert when she was a soldier.

(Source: Wikipedia)",https://myanimelist.net/images/characters/9/345616.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zero Two,"Gender: Female
Age: Unknown
Height: 170cm (5'7"") 
Code: 002
Classification: Parasite
Affiliation: Thirteenth Plantation, 9's (Formerly)
Occupation: Pistil
Partner: Hiro, 081 (Formerly), Mitsuru (Temporarily)
FRANXX: Strelizia

Zero Two (ゼロツー, Zero Tsū) is the main heroine and the deuteragonist of DARLING in the FRANXX. She is a human-klaxo Sapien hybrid and a member of the APE Special Forces, primarily fighting on the front lines.

Zero Two's personality is rumored to be dangerous, cold, and alluring as she grew up. Her outlook on life is quite cynical, so she didn't bother with a name since they are all meant to fight and die.  

When people around her fail, she hardly bats an eye at it because, to her, it is just a fact of life that everyone dies. Zero Two always keeps people at arm's length with mocking humor, nihilism, and emotional detachment. Zero Two also freely talks about how much she hates society.

It is later seen that Zero Two is a very unruly, passionate, fierce-tempered, self-confident, smug, assertive, and carefree girl who hates to follow the rules set up by the adults.

Character Background (Major Spoilers):

Timeline:






(Source: Darling in the FRANXX Wiki)",https://myanimelist.net/images/characters/14/559013.jpg,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Ichigo Kurosaki,"Race: Human
Birthday: July 15 (Cancer)
Age: 15 (beginning); 17 (currently)
Height: 174-&gt;181 cm
Weight: 61-&gt;66 kg
Known Relatives: Isshin Kurosaki (father), Masaki Kurosaki (mother, deceased), Yuzu Kurosaki (younger sister), Karin Kurosaki (younger sister),  
Theme Song: ""Number One"" by Hazel Fernandes and Shiro Sagisu.

For the most part, Ichigo appears like a normal teenage boy, the one exception to that is his spiky, orange hair, a trait which he has been ridiculed about for years. He is a fairly tall, and lean-built person with peach skin and brown eyes. Since becoming a Shinigami, he has become noticeably more muscular, as noted by his sister Karin. When in his spiritual form, Ichigo wears standard Shinigami attire with the addition of a strap across his chest.

When he was young, Ichigo considered his mother to be the center of his world. Ichigo always smiled whenever he was with Masaki and he was regularly at her side, holding her hand.

As a teenager, Ichigo's personality is much more complex. Stubborn, short-tempered, occasionally confrontational, determined, outspoken, strong-willed and impulsive, he attempts to maintain a detached and ""cool"" image, despite claiming to not care about what other people think about him. He generally keeps his face set in a permanent scowl with his eyebrows drawn together. Ichigo carries the burden of the real world and the spirit world (Soul Society), a task quite difficult, especially for a teenager like Ichigo, who has his own worries and problems. Also, Ichigo is quite smart; he was ranked 23rd in his high school. He does this partly to prove to his teachers and classmates that just because he's unique, or somewhat punkish, that he can still succeed.

When Ichigo first becomes a Shinigami, his Zanpakutō is a standard-looking katana, but oversized with an equally-oversized brown sheathe hung by a strap over his right shoulder. It has a rectangular bronze hand guard with gently inward-curved edges, a stylized flame pattern on the long sides, and a simple decorative slit on the short ones. The handle is red with two light blue tassels on the end of the handle. The large size is due to the unfocused but immense amount of Ichigo's spiritual power, which he didn't know how to control. As a result, the sword itself was rather weak, since very little spiritual power was used to create it. Nevertheless, it was powerful enough to subdue a Gillian-class Menos and lesser Hollows, completely blocking a Cero from the former. It was even able to upturn the ground with a single strike. Because of its weak spiritual energy nature, Byakuya Kuchiki was able to easily cut off most of the blade during his first encounter with Ichigo and Kisuke Urahara subsequently slices it down to the hilt during their training, forcing Ichigo to learn the name of his Zanpakutō in order to release its true form. This sword is found to be a result of Rukia's deprived spiritual energy and not a result of his own power.",https://myanimelist.net/images/characters/3/512788.jpg,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Kiyotaka Ayanokouji,"Birthday: October 20
Height: 176 cm
Zodiac sign: Libra
Favorite place: none
Dislikes: acting according to the textbook
Usual place: his room

Kiyotaka is an inconspicuous student who is very poor at communicating with other people even if he wants to, thus he tends to isolate himself. His emotions are hard to read. He received ""perfectly intermediate"" scores on his entrance examination, since academic and athletic-wise, he is average.


(Source: Official site)",https://myanimelist.net/images/characters/4/539058.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Osamu Dazai,"Age: 22
Birthday: June 19
Height: 181 cm
Weight: 67 kg
Blood type: AB
Likes: Suicide, sake, women, crabs, Ajinomoto (a Japanese brand of seasoning)
Dislikes: Dogs, Nakahara Chuuya
Ability: No Longer Human; the ability to nullify other abilities through touch.

Dazai Osamu is based on a Japanese author by same name. His ability No longer human is also based on Dazai Osamu's popular Japanese novel by same name.",https://myanimelist.net/images/characters/5/307236.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hisoka Morow,"Birthday: June 6
Horoscope: Gemini
Age: 28
Height: 187 cm
Weight: 91 kg
Hair color: 1999 anime - blue (Hunter Exam arc), red (Heavens Arena arc); red (2011)
Eye color: blue (1999), yellow (2011)
Blood type: B
Occupation: Hunter, 
Nen type: Transmutation

Notorious for his cruel and deceitful fighting ability, Hisoka has proven to be deadly. His deviousness and volatility has made many opponents have difficulty anticipating his next move, and this has led to him winning many battles. Using Shu powered poker cards as his primary weapon, he throws them with ease and deadly accuracy.

Also, he is very intrigued by Gon and the potential this young boy has to become an adept and powerful adversary. Hisoka, ever looking for a strong opponent, is willing to aid, or at least not defeat prematurely, someone that could develop into a future opponent. 


(Source: HunterHunter Wikia, Japanese Wikipedia)",https://myanimelist.net/images/characters/3/174561.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Thorfinn,"A ferocious young man who is devoted to avenging his father's death at the hands of Askeladd, and is tricked into joining his band in hopes of defeating him in a fair fight. He is the son of Thors, the most renowned Jomsviking warrior until his defection, and is related to the leadership of the Jomsvikings through his mother Helga, daughter of chief Sigvaldi and Thorkell's niece.

After his father's death, Thorfinn grew up on the battlefield and became a skilled warrior. His style is emphasized by dual-wielding two knives, as well as using throwing knives, and he has impressive durability.

Thorfinn is the fictionalized version of his historical counterpart, Icelandic explorer Thorfinn Karlsefni.

(Source: Vinland Saga Wiki, edited)",https://myanimelist.net/images/characters/9/309871.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Kamina,"Age: 18
Height: 184 cm
Weight: 74 kg

Kamina is a young man from Jiiha village who dreams of leaving the village and go to the surface, which he saw as a kid. He's very passionate about his goals, expressing his wishes through energetic speeches, which seems to affect all those who hear him. He convinces Simon to help him with his plan to drill through the roof of the village and get to the world above, but the plan failed and he was put in prison. He left the village shortly thereafter with the help of Simon and a young girl named Yoko, as a result of fighting a Gunmen, who broke into the village from the surface.

After he, Simon, and Yoko break through, they meet many enemies and friends as they go, to the point of building up a resistance force, the Gurren Brigade to fight in their war against the Beastmen Empire who hunt on human beings who live on surface, and becoming their leader.

 
 
(Source: Wikipedia)",https://myanimelist.net/images/characters/7/83946.jpg,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eikichi Onizuka,"Birthdate: August 3, 1975

A 22-year-old, hormonal, blonde-haired biker and virgin, Onizuka Eikichi graduated from a bottom-rung university by cheating and, as such, cannot get a decent job. His main way of spending time is peering up girls' skirts in a local mall. He is very athletic, as he can bench press 150 kg (331 lbs), has a second dan black belt in karate, and even claims to perform 500 push-ups, 1000 pull ups and 2000 squats daily.

Through the events explained in the Great Teacher Onizuka manga, Onizuka decides to become a teacher, even though it is later implied that he has an IQ of about 50 (Though not necessarily true). His initial teacher training is in the Musashino Public High School, where he meets Nanako Mizuki. His experience taming the rowdy gangs in his assigned class hardens his convictions that teaching is the way to go, and when he learns of Mizuki's problems, he also decides to abstain from sexual experience with his students, opting to solve their personal issues for them, instead.

Unfortunately, he nearly messes up by forgetting to take the public teachers' civil service exam. As a result, no public high school will take him, but he is still eligible for a number of private schools. He manages to get a job at the upper-crust Holy Forest Academy, despite the objections of vice-principal Uchiyamada Hiroshi, whom he continues to aggravate well into his tenure. Of course, one of the conditions of having the job at Holy Forest is that he must sleep at the school—in the storage room at the top floor, with roof access—and it is here that Onizuka officially starts his career in teaching, when he stops Yoshikawa Noboru from committing suicide.

Onizuka is put in charge of class 3-4, a class so bad it has already driven several teachers insane. Not only does he survive the class's brutal bullying tactics, but he also befriends his students, and the backbone to the story of Great Teacher Onizuka consists of his unique experiences in turning his students around and learning lessons of his own.

It is later implied again, during the National Exams, that Onizuka might actually be some sort of genius. His exam results were swapped: once for full marks, and once for just short of full marks. However, when Yoshito Kikuchi is asked whether he is curious about Onizuka's true results, he checks the answers himself and the result amazes him. He checks with Onizuka, who states that he definitely got perfect results from his own effort (which would be incredible, since he did a 5 hour exam in 1 hour, bleeding, and having 4 bullets in his stomach).

Onizuka has incredible physical resilience. On more than one occasion, he has fallen from heights that would instantly kill most people and claims to have a sort of healing factor, as he healed from a broken arm in less than a day, and even endure multiple gunshot wounds, in a short period of time. Onizuka often presents his strength in unintentionally flamboyant ways, such as arm wrestling over 100 men of exponential strength in a row and winning (including the character Heihachi from the Tekken series of fighting games, and Jason Voorhees from the films called Friday the 13th (series)). His fighting abilities are not to be taken lightly either, as Onizuka is capable of fending off multiple opponents, even if they are well-armed, and almost never receives any physical damage.

In spite of his impressive fighting skills, Onizuka is often roughed up by his students, and others, whenever he behaves badly. It could be speculated that deep down, Onizuka knows when he's acting immature, and allows others to keep him in line. An example of this is when he forces his students to dig the earth for buried treasure during the Okinawa trip. Kanzaki Urumi kicks Onizuka into a hole, and later forces him to wear S&amp;M garb and has him crawl around on all fours, with Urumi riding on his back. Yet another example is when Principal Uchiyamada has Onizuka over for dinner and hits him upside the head with a wooden bench after finding out that Onizuka was acting a bit of a letch with his daughter one day (Onizuka was playing ""where's the nipple"" with his daughter, at a karaoke bar in town).

His personal mode of transportation is a Kawasaki Z2 motorcycle 750cc type S. The bike itself is also featured heavily in the prequel series to GTO.",https://myanimelist.net/images/characters/8/241475.jpg,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
Saber,"Height: 154 cm
Weight: 42 kg
Three sizes: B73-W53-H76
Blood type: O
Armaments: armor, sword
Likes: well-structured meals, stuffed animals
Dislikes: badly structured meals, dressing up too much
Talents: gymnastic exercise, secretly good in all kinds of gambling
Famous quote: ""There are no regrets. If one can be proud of one's life, one should not wish for another chance.""

Fate/stay night

Fate/Zero


(Source: Type Moon Wiki, Wikipedia)",https://myanimelist.net/images/characters/6/275276.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shinobu Oshino,"Shinobu is a girl who lives with Meme in an abandoned building. She loves donuts from ""Mister Donut."" She was named Shinobu by Meme at the beginning of Hitagi Crab, suggesting her kanji name Shinobu (忍), having ""heart"" (心) under ""blade"" (刃), matches with her original personality.",https://myanimelist.net/images/characters/16/234167.jpg,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanji,"Age: 19→21
Birthday: March 2
Zodiac: Pisces
Height: 177 cm (5' 9"") → 180 cm (5'11"")
Blood type: RH-
Affiliation: Straw Hat Pirates; Baratie (former)
Position: Cook
Devil Fruit: none
Bounty: 
Sanji is the chain-smoking chef of the Straw Hat Pirate Crew. He has superb fighting skills that only make use of his legs, in an effort to minimize damage to his hands which would impair his cooking skills.


Sanji uses an array of powerful and varied kicking moves when he fights. His cooking skills are world class, and he was mentored in both cooking and fighting by Chef ""Red Leg"" Zeff of the Baratie. He was born in the North Blue, but grew up in the East Blue.

Sanji is trash-talking and serious, and usually gruff and impatient, especially around men. This is contrasted by his ""love-cook"" side, as he is very amorous around women. Sanji is completely devoted to any beautiful woman, usually losing all common sense and composure in front of them, then attempting to comically swoon them. This behavior has earned him the nickname ""ero-cook,"" or perverted cook. He can also be very chivalrous and gentlemanly around women, volunteering to help them in various tasks and situations, whether they need help or not. He has sworn to never let insult or injury happen to any woman while he can still stand, even if that woman is trying to kill him. This is often problematic in his fighting as he can't attack female opponents, and would rather die than hurt them. All this is apparently the result of a ""strict upbringing."" To contradict his gentlemanly behavior, Sanji also enjoys seeing women wear skimpy clothing, and can be a voyeur.

His goal in life is to find the All Blue, a legendary ocean, which contains all the fish in the world. As such, it would be paradise for any cook with as much love for his work as Sanji, who holds great respect for the tools, ingredients, and art of cooking. So great is his devotion to his calling, that Sanji will not let any person or creature starve, regardless of them being friend or foe.

Being the crew's chef, he looks out for the health of his crewmates. Sanji respects Luffy as a captain, but often gets angry at him for eating too much, showing disrespect for the aesthetics of cooking, and generally being daft and irresponsible. He is constantly in petty fights with Zoro (sometimes calling him Marimo) over each others' traits and they have developed a rivalry, but have managed to make a devastating team together. He is very protective of the female crew members and Nami likes to take advantage of him, exploiting his extreme servility. Sanji originally wanted to cook Chopper, but has come to respect him as a crew member and friend. He's also good friends with Usopp; they team up and interact often, and Sanji understands him quite well. In short, he cares as much for the crew as any Straw Hat should, but unlike Zoro, Sanji shows these feelings more.",https://myanimelist.net/images/characters/5/136769.jpg,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Taiga Aisaka,"Age: 17-18
Blood type: O
Height: 144.5 cm (4'9"")
Weight: 34 kg
School: Ohashi High School
Class: 2-C
Occupation: Student
Favorite food: Pork cutlet (tonkatsu)
Likes: Christmas, Santa Claus
Dislikes: She hates her figure as it appears in a swimsuit.
Famous Quote: ""Having someone saying you're okay as you are being needed by that person. It was nice to have someone like that.""

Taiga is a girl in Ryuuji's class. She has a well-regulated and beautiful appearance though is unable to stomach company from others. Due to her often snapping at others in brutal ways and her short stature, she is given the nickname ""Palmtop Tiger.""

Her under-developed body and the added nickname has given her a complex which in turn serves to give her a negative attitude and facial expression. Essentially, Taiga gets upset easily and is considerably clumsy. She is also brutally honest, typically when she is lashing out at someone. Due to her cute looks (described as a doll by Ryuuji), she often gets confessions of love by boys, but she turns down every one of them, including Yuusaku Kitamura (which she later regrets).

Despite coming from a well-to-do family, her life with them is very difficult because of various problems. Her father and mother got a divorce, leaving Taiga with her father. When he remarried another woman who was significantly younger than himself, it caused misunderstandings between Taiga and her step-mother. One day it became too much for Taiga, causing her to run away from home and since then, she has taken to living on her own. Since she came from a privileged household, she does not know how to do any domestic chores. When she meets Ryuuji and learns of his domestic talents, she ends up relying on Ryuuji to clean up after her. Aside from sleeping in her own house, and going to school, she spends most of her time at Ryuuji's house; so much so that she is considered a member of his family.

At the beginning of the story, she is infatuated with Ryuuji's best friend Yuusaku Kitamura and gets nervous every time he appears around her. Ryuuji finds out due to a misplaced empty love letter from Taiga meant for Kitamura. Ryuuji then admits to having feelings for Taiga's best friend Minori. Due to this, Taiga and Ryuuji team up to help each other get into a relationship with each other's best friend.",https://myanimelist.net/images/characters/11/514086.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Frieren,"Frieren was a mage in Hero Himmel's party. They travelled along with Priest Heiter and Warrior Eisen in a ten-year journey to defeat the Demon King. She was the last member to be recruited to the party and, despite Heiter's initial impression of her mana being average, Himmel had a hunch she was the most powerful mage he had ever met.

Being an elf that has lived for over a thousand years, Frieren has a hard time forming meaningful relationships with humans because of the difference in their lifespans and how they perceive the passage of time. This generally manifests itself as laziness, since missing an important event is of no importance as she will have plenty of opportunities to relive it in the future, or as a nearly sociopathic inability to comprehend human's feelings. For instance, she tends to not notice how her lack of impatience or cold statements can affect humans around her. Her party members have also frequently stated that they can't comprehend her feelings or read what goes on in her head.

Despite being an extremely powerful mage, Frieren has the habit of collecting rare and daily usage centered magic, like magic that can polish a bronze statue or make flowers bloom. She always asks for a grimoire as a reward even if she already knows its contents or when it comes to The Great Mage Flamme's lost grimoires knows they are fakes.

After the deaths of Hero Himmel and Priest Heiter, Frieren decided she wants to learn more about humans. She is currently traveling with Fern her pupil who was a war refugee left in her care by Priest Heiter in a quest to Ende, the place where souls reside in the northernmost tip of the continent and where the Demon King's Castle was built to try and speak to Himmel's soul. In her new journey, Frieren visits many places her old party travelled through in the past and relives memories, slowly understanding more about their meaning and her feelings.

Ironically, Fern is generally the one to take care of Frieren in daily activities despite being far younger.


(Source: Frieren: Beyond Journey's End Wiki)",https://myanimelist.net/images/characters/7/525105.jpg,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
Asuka Langley Souryuu,"Age: 14 , 
Height: 5'1"" / 155 cm
Birthdate: December 4, 2001
Zodiac sign: Sagittarius
Blood type: A
Origin: Wilhelmshaven, Lower Saxony, Germany

Relations:
Mother: Kyoko Zeppelin Souryuu 
Guardian: Misato Katsuragi 
Former Guardian: Ryouji Kaji 

Asuka is the Second Child ('Second Children' in the Japanese versions of NGE), who pilots Evangelion Unit 02. She is from Germany, but with an American father and a half-German, half-Japanese mother. In the Rebuild of Evangelion series of movies, her name is changed to Asuka Langley Shikinami.",https://myanimelist.net/images/characters/12/79465.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
